央视频道,#genre#
新闻频道高清,http://www.lizhinas.top:1009/rtp/239.252.220.100:5140
移动电视高清,http://www.lizhinas.top:1009/rtp/239.252.220.241:5140
江西教育高清,http://www.lizhinas.top:1009/rtp/239.252.219.115:5140
南昌新闻综合高清,http://www.lizhinas.top:1009/rtp/239.252.220.247:5140
南昌都市高清,http://www.lizhinas.top:1009/rtp/239.252.220.248:5140
南昌资讯高清,http://www.lizhinas.top:1009/rtp/239.252.220.249:5140

数字频道,#genre#

金鹰纪实高清,http://www.lizhinas.top:1009/rtp/239.252.220.155:5140
茶频道高清,http://www.lizhinas.top:1009/rtp/239.252.220.160:5140
快乐垂钓高清,http://www.lizhinas.top:1009/rtp/239.252.220.177:5140
金鹰卡通,http://www.lizhinas.top:1009/rtp/239.252.219.69:5140
梨园频道,http://www.lizhinas.top:1009/rtp/239.252.220.179:5140
武术世界,http://www.lizhinas.top:1009/rtp/239.252.220.180:5140
文物宝库,http://www.lizhinas.top:1009/rtp/239.252.220.158:5140
中国天气,http://www.lizhinas.top:1009/rtp/239.252.219.143:5140
爱电影,http://www.lizhinas.top:1009/rtp/239.252.220.142:5140
经典电影,http://www.lizhinas.top:1009/rtp/239.252.220.139:5140
爱大剧,http://www.lizhinas.top:1009/rtp/239.252.220.143:5140
热播剧场,http://www.lizhinas.top:1009/rtp/239.252.220.138:5140
少儿动画,http://www.lizhinas.top:1009/rtp/239.252.220.136:5140
魅力时尚,http://www.lizhinas.top:1009/rtp/239.252.220.137:5140
城市剧场,http://www.lizhinas.top:1009/rtp/239.252.220.75:5140
军旅剧场,http://www.lizhinas.top:1009/rtp/239.252.220.76:5140
古装剧场,http://www.lizhinas.top:1009/rtp/239.252.220.77:5140
喜剧影院,http://www.lizhinas.top:1009/rtp/239.252.220.79:5140
动作影院,http://www.lizhinas.top:1009/rtp/239.252.220.85:5140
家庭影院,http://www.lizhinas.top:1009/rtp/239.252.220.86:5140
武侠剧场,http://www.lizhinas.top:1009/rtp/239.252.220.88:5140
精选,http://www.lizhinas.top:1009/rtp/239.252.219.161:5140
动画,http://www.lizhinas.top:1009/rtp/239.252.219.165:5140
光影,http://www.lizhinas.top:1009/rtp/239.252.220.200:5140
星影,http://www.lizhinas.top:1009/rtp/239.252.220.210:5140
南昌实验小学电视台高清,http://www.lizhinas.top:1009/rtp/239.252.220.12:5140
