

央视频道,#genre#
热播剧场专区,http://171.213.129.138:1880/rtp/239.93.0.56:9020
健康养生专区,http://171.213.129.138:1880/rtp/239.93.42.84:5140
谍战剧场专区,http://171.213.129.138:1880/rtp/239.93.42.91:5140
卡酷动画,http://171.213.129.138:1880/rtp/239.93.42.1:5140
金鹰卡通,http://171.213.129.138:1880/rtp/239.93.0.5:5140
优漫卡通,http://171.213.129.138:1880/rtp/239.93.0.251:5140
宝宝动画专区,http://171.213.129.138:1880/rtp/239.93.42.89:5140
少儿动画专区,http://171.213.129.138:1880/rtp/239.93.0.193:9000
青春动漫专区,http://171.213.129.138:1880/rtp/239.93.0.146:5140
音乐现场专区,http://171.213.129.138:1880/rtp/239.93.0.198:9044
戏曲精选专区,http://171.213.129.138:1880/rtp/239.93.0.144:5140
戏曲专区,http://171.213.129.138:1880/rtp/239.93.0.217:9208
魅力时尚专区,http://171.213.129.138:1880/rtp/239.93.0.190:9012
生活时尚,http://171.213.129.138:1880/rtp/239.93.0.106:5140
财富天下,http://171.213.129.138:1880/rtp/239.93.0.116:9136
百变课堂专区,http://171.213.129.138:1880/rtp/239.93.42.85:5140
电竞天堂专区,http://171.213.129.138:1880/rtp/239.93.1.135:5140
游戏风云,http://171.213.129.138:1880/rtp/239.93.0.136:5140
足球专区,http://171.213.129.138:1880/rtp/239.93.0.197:9040
红色影院专区,http://171.213.129.138:1880/rtp/239.93.0.202:9068
经典剧场专区,http://171.213.129.138:1880/rtp/239.93.0.203:9072
家庭理财,http://171.213.129.138:1880/rtp/239.93.0.111:5140
墨宝专区,http://171.213.129.138:1880/rtp/239.93.0.215:9132
军事专区,http://171.213.129.138:1880/rtp/239.93.0.204:9076
解密专区,http://171.213.129.138:1880/rtp/239.93.0.199:9048
地理专区,http://171.213.129.138:1880/rtp/239.93.0.200:9052
导视专区,http://171.213.129.138:1880/rtp/239.93.0.129:5140
收视指南专区,http://171.213.129.138:1880/rtp/239.93.0.195:8012
蓉城先锋专区,http://171.213.129.138:1880/rtp/239.93.0.91:2101
星空精选专区,http://171.213.129.138:1880/rtp/239.93.1.171:5140
东方财经,http://171.213.129.138:1880/rtp/239.93.1.165:5140
