

央视频道,#genre#
东南卫视,http://home.l-ht.cn:4000/rtp/239.77.0.146:5146
广西卫视,http://home.l-ht.cn:4000/rtp/239.253.43.36:5146
广西卫视,http://home.l-ht.cn:4000/rtp/239.77.0.139:5146
吉林卫视,http://home.l-ht.cn:4000/rtp/239.77.1.111:5146
吉林卫视,http://home.l-ht.cn:4000/rtp/239.77.0.150:5146
青海卫视,http://home.l-ht.cn:4000/rtp/239.253.43.125:5146
海南卫视,http://home.l-ht.cn:4000/rtp/239.253.43.35:5146
海南卫视,http://home.l-ht.cn:4000/rtp/239.253.43.101:5146
甘肃卫视,http://home.l-ht.cn:4000/rtp/239.77.0.189:5146
三沙卫视,http://home.l-ht.cn:4000/rtp/239.253.43.113:5146
CETV-1,http://home.l-ht.cn:4000/rtp/239.77.1.222:5146
CETV-1,http://home.l-ht.cn:4000/rtp/239.77.0.200:5146
CETV-4,http://home.l-ht.cn:4000/rtp/239.253.43.40:5146
CETV-4,http://home.l-ht.cn:4000/rtp/239.253.43.114:5146
早期教育,http://home.l-ht.cn:4000/rtp/239.77.1.122:5146
早期教育,http://home.l-ht.cn:4000/rtp/239.77.0.180:5146
早期教育,http://home.l-ht.cn:4000/rtp/239.77.1.114:5146

数字频道,#genre#

中国天气,http://home.l-ht.cn:4000/rtp/239.77.1.2:5146
金鹰卡通,http://home.l-ht.cn:4000/rtp/239.77.0.164:5146
茶频道,http://home.l-ht.cn:4000/rtp/239.77.0.15:5146
快乐垂钓,http://home.l-ht.cn:4000/rtp/239.77.0.145:5146
金鹰纪实,http://home.l-ht.cn:4000/rtp/239.77.1.217:5146
金鹰纪实,http://home.l-ht.cn:4000/rtp/239.77.0.160:5146
求索纪录,http://home.l-ht.cn:4000/rtp/239.77.0.21:5146
天元围棋,http://home.l-ht.cn:4000/rtp/239.253.43.98:5146
睛彩青少,http://home.l-ht.cn:4000/rtp/239.77.1.22:5146
睛彩竞技,http://home.l-ht.cn:4000/rtp/239.77.1.20:5146
睛彩篮球,http://home.l-ht.cn:4000/rtp/239.77.1.21:5146
睛彩广场舞,http://home.l-ht.cn:4000/rtp/239.77.1.23:5146
IPTV1,http://home.l-ht.cn:4000/rtp/239.77.1.7:5146
IPTV2,http://home.l-ht.cn:4000/rtp/239.77.1.8:5146
爱综艺,http://home.l-ht.cn:4000/rtp/239.77.0.107:5146
爱综艺,http://home.l-ht.cn:4000/rtp/239.77.1.78:5146
IPTV3,http://home.l-ht.cn:4000/rtp/239.77.1.9:5146
IPTV4,http://home.l-ht.cn:4000/rtp/239.77.1.10:5146
爱体育,http://home.l-ht.cn:4000/rtp/239.77.0.108:5146
爱体育,http://home.l-ht.cn:4000/rtp/239.77.1.77:5146
爱体育,http://home.l-ht.cn:4000/rtp/239.77.0.176:5146
爱体育,http://home.l-ht.cn:4000/rtp/239.77.1.116:5146
爱电影,http://home.l-ht.cn:4000/rtp/239.77.0.103:5146
爱电影,http://home.l-ht.cn:4000/rtp/239.77.1.138:5146
爱大剧,http://home.l-ht.cn:4000/rtp/239.77.0.105:5146
爱大剧,http://home.l-ht.cn:4000/rtp/239.77.1.82:5146
IPTV谍战剧场,http://home.l-ht.cn:4000/rtp/239.77.0.99:5146
IPTV谍战剧场,http://home.l-ht.cn:4000/rtp/239.77.1.83:5146
IPTV相声小品,http://home.l-ht.cn:4000/rtp/239.77.0.100:5146
IPTV相声小品,http://home.l-ht.cn:4000/rtp/239.77.1.84:5146
IPTV野外,http://home.l-ht.cn:4000/rtp/239.77.0.101:5146
IPTV野外,http://home.l-ht.cn:4000/rtp/239.77.1.85:5146
IPTV法治,http://home.l-ht.cn:4000/rtp/239.77.0.102:5146
IPTV法治,http://home.l-ht.cn:4000/rtp/239.77.1.86:5146
魅力时尚,http://home.l-ht.cn:4000/rtp/239.77.0.110:5146
IPTV魅力时尚,http://home.l-ht.cn:4000/rtp/239.77.1.88:5146
经典电影,http://home.l-ht.cn:4000/rtp/239.77.0.104:5146
IPTV经典电影,http://home.l-ht.cn:4000/rtp/239.77.1.89:5146
热播剧场,http://home.l-ht.cn:4000/rtp/239.77.0.106:5146
IPTV热播剧场,http://home.l-ht.cn:4000/rtp/239.77.1.90:5146
少儿动画,http://home.l-ht.cn:4000/rtp/239.77.0.109:5146
IPTV少儿动画,http://home.l-ht.cn:4000/rtp/239.77.1.91:5146
IPTV收视指南,http://home.l-ht.cn:4000/rtp/239.77.0.111:5146
九屏同播,http://home.l-ht.cn:4000/rtp/239.77.1.234:5146
四屏同播,http://home.l-ht.cn:4000/rtp/239.77.1.107:5146

本地频道,#genre#

广东珠江,http://home.l-ht.cn:4000/rtp/239.77.0.114:5146
广东珠江,http://home.l-ht.cn:4000/rtp/239.77.0.1:5146
广东新闻,http://home.l-ht.cn:4000/rtp/239.77.0.173:5146
广东民生,http://home.l-ht.cn:4000/rtp/239.77.0.225:5146
广东体育,http://home.l-ht.cn:4000/rtp/239.77.0.168:5146
广东体育,http://home.l-ht.cn:4000/rtp/239.77.0.112:5146
经济科教,http://home.l-ht.cn:4000/rtp/239.77.0.167:5146
经济科教,http://home.l-ht.cn:4000/rtp/239.77.0.85:5146
大湾区卫视,http://home.l-ht.cn:4000/rtp/239.77.0.215:5146
广东影视,http://home.l-ht.cn:4000/rtp/239.77.0.217:5146
广东少儿,http://home.l-ht.cn:4000/rtp/239.77.0.250:5146
嘉佳卡通,http://home.l-ht.cn:4000/rtp/239.77.0.179:5146
